month,notes
2019-09,"BULLISH - Fed cut rates in September, market recovered from summer trade war anxiety. Still very new to ES, taking small trades and getting a feel for how the contract moves. More watching than trading."
2019-10,"BULLISH - Phase 1 US-China trade deal optimism pushed ES higher all month. Overtraded early, gave back gains chasing moves. Starting to realize discipline matters more than being right."
2019-11,"CHOPPY - Market ground higher but intraday action was noisy. Struggled to find entries, kept getting stopped out before the move happened. Losing month, still figuring out setups."
2019-12,"BULLISH - Phase 1 trade deal signed, holiday rally into year-end. Took too few trades on the good days and too many on the bad ones. Ended the year down, but learning a lot."
2020-01,"BULLISH - New all-time highs to start the year. COVID was just a headline out of China, nobody took it seriously. Got a few decent trades early but gave back gains in the second half as headlines got louder."
2020-02,"BEARISH - COVID fear hit fast and hard. ES dropped over 13% in February alone. Had no framework for trading a market like this. Froze on some trades, revenge traded on others. Bad month."
2020-03,"BEARISH - Full crash. Circuit breakers triggered multiple times. ES fell 34% peak to trough. Sat most of the month out after getting hit early. Watched in disbelief. Learned what real volatility feels like."
2020-04,"BULLISH - Fed launched unlimited QE, Congress passed $2T stimulus. ES bounced hard. Caught a few longs but sized too small, didn't trust the move. Made back some of the losses from Feb-March."
2020-05,"BULLISH - Recovery continued. Starting to get more comfortable trading again after the crash. Focused on not overtrading and only taking high-odds setups. Best month since starting."
2020-06,"CHOPPY - Second wave COVID fears created whipsaw action. ES had big swings both directions with no follow-through. Got chopped up repeatedly. Went back to studying charts more than trading."
2020-07,"BULLISH - Stimulus hopes and tech strength drove ES higher. Stayed more patient this month, waited for pullbacks to key levels. Starting to see improvement in trade selection."
2020-08,"BULLISH - New all-time highs. Low volatility grind higher. Kept size small but executed cleaner than any prior month. Building a bit of confidence back after the rough first half of the year."
2020-09,"BEARISH - Tech led a sharp selloff after massive summer gains. Tried to short but kept getting squeezed. Then tried to buy dips too early. Frustrating month, gave back August gains."
2020-10,"CHOPPY - Election uncertainty killed any clean trending. Market moved on every poll and every COVID headline. Sat most of the month out, not worth fighting the noise."
2020-11,"BULLISH - Pfizer vaccine announcement November 9th and Biden election confirmed. ES ripped. Caught part of the move but undersized again. Still not trusting big moves with real size."
2020-12,"BULLISH - Vaccine rollout and stimulus deal pushed markets higher into year-end. Traded light, mostly just trying to end a brutal year on a positive note. Managed a small green month."
2021-01,"CHOPPY - GameStop short squeeze chaos dominated headlines. ES was choppy and directionless as retail frenzy created weird cross-market volatility. Sat most of January out."
2021-02,"BULLISH - Reopening trade in full swing. Rates rising on reflation expectations. Got more active this month, starting to hold winners a bit longer instead of scalping everything."
2021-03,"BULLISH - $1.9T American Rescue Plan passed. ES broke to new all-time highs. More confident now, taking more trades with better sizing. Best month since starting."
2021-04,"BULLISH - Strong earnings season, clean trending tape. Getting into a rhythm. Identifying setups better, cutting losses faster. The consistency is starting to show up in results."
2021-05,"CHOPPY - First real inflation fears appeared. CPI came in hot and the market wobbled. Went back to oversizing and chasing. Gave back some April gains, frustrating month."
2021-06,"BULLISH - Fed calmed inflation fears, called it transitory. Rally resumed. Refocused on the process, better execution second half of the month."
2021-07,"BULLISH - Delta variant scare mid-month recovered quickly. ES hit new highs. Most active and most profitable month so far. Starting to feel like the process is clicking."
2021-08,"BULLISH - Low vol summer grind. Jackson Hole came and went without surprises. Light trading, took only the clearest setups. Small but clean month."
2021-09,"BEARISH - Evergrande default fears out of China plus debt ceiling drama. ES dropped sharply. Sat back and watched most of it. Took two trades, both losers. Learning to recognize when not to trade."
2021-10,"BULLISH - Evergrande fears faded, earnings beats drove ES to new ATHs. Got back to clean execution. Good follow-through on long setups all month."
2021-11,"BEARISH - Omicron variant announced the day after Thanksgiving. ES gapped down hard. Only had a few trades in, still got hurt. Sat the rest of the month out waiting for clarity."
2021-12,"BULLISH - Omicron proved less severe, market recovered fast. Caught the bounce well. Ended 2021 strong, best year by far since starting. Starting to feel like a real edge is developing."
2022-01,"BEARISH - Fed pivoted hard toward rate hikes. Growth stocks collapsed, ES dropped 10% in January. Tried to short early but got squeezed. Then went long too early. Rough start to the year."
2022-02,"BEARISH - Russia invaded Ukraine on February 24th. ES gapped down on the news. Completely unpredictable macro environment. Took minimal trades, mostly just tried to stay out of the way."
2022-03,"CHOPPY - War in Ukraine continued, Fed hiked 25bps. Market bounced around with no direction. A few trades, mixed results. Not the right environment to be aggressive."
2022-04,"BEARISH - Fed signaled 50bps hikes were coming. ES dropped nearly 9% in April. Tried multiple times to buy dips, kept getting hit. One of the worst months of the year."
2022-05,"CHOPPY - ES briefly entered bear market territory then bounced. No clean trend either way. Reduced size significantly after the April losses, just trying to stay disciplined."
2022-06,"BEARISH - CPI printed 9.1%, highest in 40 years. ES confirmed bear market, down over 20% YTD. Almost completely sat out. A few small trades, all losers. Preservation mode."
2022-07,"BULLISH - Bear market bounce. Markets priced in aggressive Fed tightening and bounced hard. Caught part of the move short-side then flipped long. Best month of an otherwise brutal year."
2022-08,"BEARISH - Jackson Hole. Powell gave a short, blunt hawkish speech. ES dropped 3% in minutes. Had a long on, got stopped out hard. Went flat the rest of the month."
2022-09,"BEARISH - ES hit cycle lows, down 25% YTD. Every bounce was a selling opportunity. Tried to pick a bottom twice, wrong both times. Just a brutal grinding bear market."
2022-10,"CHOPPY - Bottoming action with wild swings. CPI data dominated every session. No clean direction. A few trades, gave back more. Sitting on significant YTD losses."
2022-11,"BULLISH - CPI came in lower than expected on November 10th. ES ripped 5% in one day. Caught the move, best month since July. A rare bright spot in a dark year."
2022-12,"BEARISH - Fed stayed hawkish, year-end tax loss selling. ES drifted lower into year-end. Barely traded. Took the loss, closed the year down big, and spent time reviewing everything that went wrong."
2023-01,"BULLISH - Strong January, soft landing narrative took hold. Market ripped from the lows. Finally felt like the bear market was over. Got active again with better conviction on long setups."
2023-02,"CHOPPY - Hot CPI data again spooked the market. Gave back some January gains. Frustrating but stayed disciplined, didn't revenge trade like I would have in 2022."
2023-03,"CHOPPY - SVB bank collapsed March 10th. Contagion fears spiked, VIX jumped. Sat most of the month out. A few trades, mixed results. The 2022 experience taught me to respect uncertainty."
2023-04,"BULLISH - Banking fears faded, earnings came in OK. Market climbed. Getting back into a rhythm after the choppy Q1. Focused on long setups with clear structure."
2023-05,"CHOPPY - Debt ceiling drama kept markets on edge all month. No resolution until late May. Too much headline risk to trade aggressively. Light month by design."
2023-06,"BULLISH - Debt ceiling resolved, AI enthusiasm exploded with Nvidia earnings. ES broke out. Strong trending month, let winners run longer than usual. One of the best months of the year."
2023-07,"BULLISH - Soft landing narrative at its peak. ES hit new 52-week highs. Clean trending action. High conviction, well-executed month. Feeling the most consistent I've ever been."
2023-08,"BEARISH - Fitch downgraded US debt from AAA. Market sold off and stayed soft all month. Reduced size and sat back. Small loss, but managed it well compared to how 2022 went."
2023-09,"BEARISH - 10-year Treasury yield hit 5%, highest since 2007. ES sold off steadily all month. Tried a few longs, stopped out each time. Recognized the trend and stepped aside."
2023-10,"BEARISH - Israel-Hamas war broke out October 7th. Combined with rate fears, ES dropped 7% during the month. Sat almost entirely out. Small loss on limited exposure."
2023-11,"BULLISH - Fed signaled rate hikes were done. Massive rally, ES up nearly 9% in November. Got long early and held through the move. Best month of 2023 by far."
2023-12,"BULLISH - Santa Claus rally, rate cuts fully priced into 2024. ES ground higher on low volume. Light trading into year-end, locked in a strong finish. Best year since 2021."
2024-01,"CHOPPY - Fed crushed rate cut hopes early in the year. No clear direction, whipsaw price action. Stayed light and paid for it on a few stop-outs.""CHOPPY - Fed crushed rate cut hopes early in the year. No clear direction, whipsaw price action. Stayed light and paid for it on a few stop-outs."
2024-02,"BULLISH - Fed confirmed 3 rate cuts coming in 2024. Market trended up clean, focused on long setups near key support levels and let winners run."
2024-03,"BULLISH - ES broke to new highs after tame CPI data. Consistent execution all month, high-probability setups with clear follow-through."
2024-04,"CHOPPY - Inflation came in hotter than expected at 3.5%. Rate cut hopes faded, market had no direction. Reduced size and stayed selective."
2024-05,"BULLISH - Rate cut narrative back on the table. Clean trending price action, stuck to morning sessions and avoided the choppy afternoon tape."
2024-06,"BULLISH - Steady grind higher. Focused on pullback entries near VWAP and key levels. Nothing flashy, just consistent execution."
2024-07,"BULLISH - Inflation cooled, ES broke to all-time highs and trended up the entire month. Most active month of the year, high conviction on long setups."
2024-08,"BEARISH - Japan yen carry trade collapsed. Nikkei dropped 12% in one day, ES gapped down 100 points, VIX hit 65. Nearly sat the whole month out, still got clipped."
2024-09,"BULLISH - Market stabilized after August chaos. Fed rate cut in September added fuel. Returned to normal execution, setups were clean again."
2024-10,"BULLISH - Strong earnings season and pre-election optimism kept ES bid. Stayed disciplined, no revenge trading after a tough August."
2024-11,"BULLISH - Trump won the election. Markets ripped on deregulation and tax cut expectations. Clean one-directional move, long-bias all month."
2024-12,"CHOPPY - Fed cut rates but signaled only 2 cuts in 2025 instead of 4. ES dropped 3% on Fed day. Rest of month was dead holiday chop, traded very light."
2025-01,"FLAT - Inflation stayed sticky, Fed pause fears returned. Light directionless month, mostly scratches. Preserved capital and waited for better conditions."
2025-02,"BULLISH - Market found footing and trended higher. Focused on long setups with clear structure, good follow-through on most trades."
2025-03,"BEARISH - Trump tariff threats started escalating. Market gapped down on every headline with no clean bounces. Took only 6 trades, still got hit on two big ones."
2025-04,"BEARISH - Liberation Day. Trump announced a 10% baseline tariff on all U.S. imports and higher duties up to 34%+ on specific countries. ES dropped ~300 points in two sessions. Nearly sat the whole month out."
2025-05,"BULLISH - Trump paused the worst tariffs for 90 days. Massive short squeeze, ES ripped back hard. Easy long-bias month, let trades breathe and run."
2025-06,"BULLISH - Continued recovery from April lows. Steady price action with good intraday structure. Focused on morning sessions and avoided overtrading."
2025-07,"BULLISH - Strong momentum carried through summer. Clean trending tape, high conviction setups. One of the better months of execution all year."
2025-08,"CHOPPY - Weak jobs data brought recession fears back. ES swung 50+ points both directions daily with no follow-through. Got chopped up trying to trade the range."
2025-09,"BULLISH - Fed cut rates and signaled more cuts coming. ES trended higher for weeks straight. One of the cleanest trending months of the year."
2025-10,"BULLISH - Strong earnings season on top of September momentum. ES ground to new highs with barely any pullbacks. Stayed patient and let trades develop."
2025-11,"BULLISH - Continued strength into year-end. Focused on high-probability setups, avoided getting greedy after two strong months."
2025-12,"FLAT - Holiday low volume. No institutions, no trend, just noise. Intentionally barely traded and preserved gains heading into 2026."
2026-01,"BULLISH - Clean start to 2026. Market resumed uptrend with good structure. Focused on morning momentum setups and executed well."
2026-02,"BEARISH - Tariff threats returned alongside soft economic data. ES broke key support levels and trended down. Almost completely sat out with only 3 trades."
2026-03,"BEARISH - Continued selling pressure. Trade policy uncertainty, slowing global growth, mixed Fed signals. Failed bounces all month, no sustained trend to trade."